datum,altersgruppe,neuPositiv,inzidenz7tage
2020-03-02,00-04,0,0
2020-03-02,05-14,0,0
2020-03-02,15-34,0,0
2020-03-02,35-59,1,1.81
2020-03-02,60-79,0,0
2020-03-02,80+,0,0
2020-03-03,00-04,0,0
2020-03-03,05-14,0,0
2020-03-03,15-34,1,3.2
2020-03-03,35-59,0,1.81
2020-03-03,60-79,0,0
2020-03-03,80+,0,0
2020-03-04,00-04,0,0
2020-03-04,05-14,0,0
2020-03-04,15-34,0,3.2
2020-03-04,35-59,0,1.81
2020-03-04,60-79,0,0
2020-03-04,80+,0,0
2020-03-05,00-04,0,0
2020-03-05,05-14,0,0
2020-03-05,15-34,0,3.2
2020-03-05,35-59,0,1.81
2020-03-05,60-79,0,0
2020-03-05,80+,0,0
2020-03-06,00-04,0,0
2020-03-06,05-14,0,0
2020-03-06,15-34,1,6.39
2020-03-06,35-59,2,5.44
2020-03-06,60-79,0,0
2020-03-06,80+,0,0
2020-03-07,00-04,0,0
2020-03-07,05-14,0,0
2020-03-07,15-34,0,6.39
2020-03-07,35-59,1,7.25
2020-03-07,60-79,0,0
2020-03-07,80+,0,0
2020-03-08,00-04,0,0
2020-03-08,05-14,1,6.56
2020-03-08,15-34,0,6.39
2020-03-08,35-59,2,10.88
2020-03-08,60-79,0,0
2020-03-08,80+,0,0
2020-03-09,00-04,0,0
2020-03-09,05-14,0,6.56
2020-03-09,15-34,2,12.79
2020-03-09,35-59,0,9.07
2020-03-09,60-79,0,0
2020-03-09,80+,0,0
2020-03-10,00-04,0,0
2020-03-10,05-14,0,6.56
2020-03-10,15-34,2,15.98
2020-03-10,35-59,3,14.51
2020-03-10,60-79,0,0
2020-03-10,80+,0,0
2020-03-11,00-04,0,0
2020-03-11,05-14,0,6.56
2020-03-11,15-34,0,15.98
2020-03-11,35-59,0,14.51
2020-03-11,60-79,0,0
2020-03-11,80+,0,0
2020-03-12,00-04,0,0
2020-03-12,05-14,0,6.56
2020-03-12,15-34,1,19.18
2020-03-12,35-59,3,19.95
2020-03-12,60-79,0,0
2020-03-12,80+,0,0
2020-03-13,00-04,0,0
2020-03-13,05-14,0,6.56
2020-03-13,15-34,0,15.98
2020-03-13,35-59,3,21.76
2020-03-13,60-79,1,3.65
2020-03-13,80+,0,0
2020-03-14,00-04,0,0
2020-03-14,05-14,0,6.56
2020-03-14,15-34,0,15.98
2020-03-14,35-59,0,19.95
2020-03-14,60-79,0,3.65
2020-03-14,80+,0,0
2020-03-15,00-04,0,0
2020-03-15,05-14,0,0
2020-03-15,15-34,0,15.98
2020-03-15,35-59,3,21.76
2020-03-15,60-79,0,3.65
2020-03-15,80+,0,0
2020-03-16,00-04,0,0
2020-03-16,05-14,0,0
2020-03-16,15-34,1,12.79
2020-03-16,35-59,3,27.2
2020-03-16,60-79,0,3.65
2020-03-16,80+,0,0
